review_id,review_text,review_rating,review_title
197031878,"Wow et re-wow ! Super beau ! Merci pour les ¨¦chantillons. Je trouve la pr¨¦sentation du produit fort belle, surtout les bouteilles. On voit tout de suite qu'il y a un produit de qualit¨¦ ¨¤ l'int¨¦rieur, merci !",5.0,"Wow et re-wow ! Super beau ! Merci pour les ¨¦chantillons. Je trouve la pr¨¦sentation du produit fort belle, surtout les bouteilles. On voit tout de suite qu'il y a un produit de qualit¨¦ ¨¤ l'int¨¦rieur, merci !"
197031988,"Odeur tr¨¨s agr¨¦able, et apr¨¨s l'utilisation mes cheveux ¨¦taient plus doux et soyeux qu'¨¤ l'habitude. Je vais certainement essayer les autres fragrances. Whole Blends est ma nouvelle gamme pr¨¦f¨¦r¨¦e de produits coiffants!! Merci Garnier ;)",5.0,"Odeur tr¨¨s agr¨¦able, et apr¨¨s l'utilisation mes cheveux ¨¦taient plus doux et soyeux qu'¨¤ l'habitude. Je vais certainement essayer les autres fragrances. Whole Blends est ma nouvelle gamme pr¨¦f¨¦r¨¦e de produits coiffants!! Merci Garnier ;)"
197031994,"On se sent comme ¨¤ l'¨¦t¨¦ il sent super bon! Je ne les ai pas tous essay¨¦, mais je les essayerai c'est certain.",5.0,"On se sent comme ¨¤ l'¨¦t¨¦ il sent super bon! Je ne les ai pas tous essay¨¦, mais je les essayerai c'est certain."
197032051,"Le parfun du produit est a couper le soufle, je l' ai ador¨¦..Sauf que le prix est un peu ¨¦lev¨¦",5.0,"Le parfun du produit est a couper le soufle, je l' ai ador¨¦..Sauf que le prix est un peu ¨¦lev¨¦"
197032255,Le shampooing et le revitalisant whole blends eau de coco et lait de vanille sont des excellents produits. L'odeur et les biens faits qu'on apport¨¦s ses produits ¨¤ mes cheveux ¨¦taient tr¨¨s satisfaisant. Je vais certainement essayer les autres produits de la m¨ºme marque et en parler ¨¤ toutes mes amies.,5.0,Le shampooing et le revitalisant whole blends eau de coco et lait de vanille sont des excellents produits. L'odeur et les biens faits qu'on apport¨¦s ses produits ¨¤ mes cheveux ¨¦taient tr¨¨s satisfaisant. Je vais certainement essayer les autres produits de la m¨ºme marque et en parler ¨¤ toutes mes amies.
197032334,Shampoing tr¨¨s doux.  J'aime la texture. Facile d'utilisation n'est pas collant.,3.0,Shampoing tr¨¨s doux.  J'aime la texture. Facile d'utilisation n'est pas collant.
197032422,Laisse les cheveux tr¨¨s doux. Odeur tr¨¨s agr¨¦able. Facile ¨¤ coiffer.,4.0,Laisse les cheveux tr¨¨s doux. Odeur tr¨¨s agr¨¦able. Facile ¨¤ coiffer.
197032454,"j'adore le produit ! Mes cheveux son 2 fois plus brillant et doux, sans dire que son odeur est agr¨¦able.",5.0,"j'adore le produit ! Mes cheveux son 2 fois plus brillant et doux, sans dire que son odeur est agr¨¦able."
197032521,J ai bien aimer le produit et je recommande a toutes le mondes,5.0,J ai bien aimer le produit et je recommande a toutes le mondes
197033550,je lestrouver juste tropwowowo monnomest nathalie 59 ch lormevaldes momt quebec j8n2g4 819457-2524 alors je lerecommande a tous,5.0,je lestrouver juste tropwowowo monnomest nathalie 59 ch lormevaldes momt quebec j8n2g4 819457-2524 alors je lerecommande a tous
197033569,J'ai vraiment appr¨¦cier ce revitalisant mes cheveux ¨¦tait facile ¨¤ d¨¦m¨ºler apr¨¨s l'utilisation.,5.0,J'ai vraiment appr¨¦cier ce revitalisant mes cheveux ¨¦tait facile ¨¤ d¨¦m¨ºler apr¨¨s l'utilisation.
197027924,J'adore le parfum que aucun autres marques ont.,4.0,J'adore le parfum que aucun autres marques ont.
197028372,j'adore l'odeur j'ai h?te d'essayer les autres produits de la m¨ºme gamme. Ce produit ¨¤ rendu mes cheveux doux et brillants.,4.0,j'adore l'odeur j'ai h?te d'essayer les autres produits de la m¨ºme gamme. Ce produit ¨¤ rendu mes cheveux doux et brillants.
